idx,session_id,camera_id,presented_order,time_ms,label_state,sub_label,attributes,confidence,is_uncertain,desc_major,desc_sub,desc_attrs,description,nl_tags,desc_major_encoded,observation.robot_state.joint_positions_2,action.joint_position_0,action.target_cartesian_position_1,action.joint_position_2,action.cartesian_position_1
32,Mon_May_15_22_22_44_2023,20103212,32,390,approach,far,,M,0,로봇이 대상에 접근하고 있습니다.,먼 거리에서 접근 중.,,"[33/250] 로봇이 대상에 접근하고 있습니다. 먼 거리에서 접근 중. (session=Mon_May_15_22_22_44_2023, cam=20103212)",approach;distant;far;move closer;다가감;먼;접근,3,-0.15173324942588806,-0.13523804023861885,-0.11098482459783554,-0.14792756410315633,-0.13895337283611298
33,Mon_May_15_22_22_44_2023,20103212,33,311,approach,far,,M,0,로봇이 대상에 접근하고 있습니다.,먼 거리에서 접근 중.,,"[34/250] 로봇이 대상에 접근하고 있습니다. 먼 거리에서 접근 중. (session=Mon_May_15_22_22_44_2023, cam=20103212)",approach;distant;far;move closer;다가감;먼;접근,3,-0.15391430258750916,-0.13526451075449586,-0.11098482459783554,-0.14748681290075183,-0.13913168013095856
34,Mon_May_15_22_22_44_2023,20103212,34,375,approach,far,,M,0,로봇이 대상에 접근하고 있습니다.,먼 거리에서 접근 중.,,"[35/250] 로봇이 대상에 접근하고 있습니다. 먼 거리에서 접근 중. (session=Mon_May_15_22_22_44_2023, cam=20103212)",approach;distant;far;move closer;다가감;먼;접근,3,-0.1536269634962082,-0.13419985072687268,-0.11098482459783554,-0.14677279815077782,-0.1384212076663971
35,Mon_May_15_22_22_44_2023,20103212,35,201,approach,far,,M,0,로봇이 대상에 접근하고 있습니다.,먼 거리에서 접근 중.,,"[36/250] 로봇이 대상에 접근하고 있습니다. 먼 거리에서 접근 중. (session=Mon_May_15_22_22_44_2023, cam=20103212)",approach;distant;far;move closer;다가감;먼;접근,3,-0.15300902724266052,-0.13322596345096827,-0.11098482459783554,-0.14639326883479953,-0.1379021555185318
36,Mon_May_15_22_22_44_2023,20103212,36,283,approach,far,,M,0,로봇이 대상에 접근하고 있습니다.,먼 거리에서 접근 중.,,"[37/250] 로봇이 대상에 접근하고 있습니다. 먼 거리에서 접근 중. (session=Mon_May_15_22_22_44_2023, cam=20103212)",approach;distant;far;move closer;다가감;먼;접근,3,-0.15277811884880066,-0.13301926292479038,-0.11098482459783554,-0.14634397625923157,-0.13786989450454712
37,Mon_May_15_22_22_44_2023,20103212,37,202,approach,far,,M,0,로봇이 대상에 접근하고 있습니다.,먼 거리에서 접근 중.,,"[38/250] 로봇이 대상에 접근하고 있습니다. 먼 거리에서 접근 중. (session=Mon_May_15_22_22_44_2023, cam=20103212)",approach;distant;far;move closer;다가감;먼;접근,3,-0.15275724232196808,-0.13303969521075487,-0.11098482459783554,-0.1463537411764264,-0.13794904947280884
38,Mon_May_15_22_22_44_2023,20103212,38,299,approach,far,,M,0,로봇이 대상에 접근하고 있습니다.,먼 거리에서 접근 중.,,"[39/250] 로봇이 대상에 접근하고 있습니다. 먼 거리에서 접근 중. (session=Mon_May_15_22_22_44_2023, cam=20103212)",approach;distant;far;move closer;다가감;먼;접근,3,-0.15277107059955597,-0.13299316726624966,-0.11098482459783554,-0.1463140440173447,-0.13794270157814026
39,Mon_May_15_22_22_44_2023,20103212,39,345,approach,far,,M,0,로봇이 대상에 접근하고 있습니다.,먼 거리에서 접근 중.,,"[40/250] 로봇이 대상에 접근하고 있습니다. 먼 거리에서 접근 중. (session=Mon_May_15_22_22_44_2023, cam=20103212)",approach;distant;far;move closer;다가감;먼;접근,3,-0.15272845327854156,-0.1329852808266878,-0.1379416286945343,-0.14630778459832072,-0.13794341683387756
40,Mon_May_15_22_22_44_2023,20103212,40,236,approach,far,,M,0,로봇이 대상에 접근하고 있습니다.,먼 거리에서 접근 중.,,"[41/250] 로봇이 대상에 접근하고 있습니다. 먼 거리에서 접근 중. (session=Mon_May_15_22_22_44_2023, cam=20103212)",approach;distant;far;move closer;다가감;먼;접근,3,-0.1527196615934372,-0.13368146074935794,-0.14161724672201798,-0.14528074394911528,-0.13935232469992162
41,Mon_May_15_22_22_44_2023,20103212,41,539,approach,far,,M,0,로봇이 대상에 접근하고 있습니다.,먼 거리에서 접근 중.,,"[42/250] 로봇이 대상에 접근하고 있습니다. 먼 거리에서 접근 중. (session=Mon_May_15_22_22_44_2023, cam=20103212)",approach;distant;far;move closer;다가감;먼;접근,3,-0.15259423851966858,-0.13521467056125402,-0.14959279303507378,-0.14564567571505904,-0.14225045258088548
42,Mon_May_15_22_22_44_2023,20103212,42,372,approach,far,,M,0,로봇이 대상에 접근하고 있습니다.,먼 거리에서 접근 중.,,"[43/250] 로봇이 대상에 접근하고 있습니다. 먼 거리에서 접근 중. (session=Mon_May_15_22_22_44_2023, cam=20103212)",approach;distant;far;move closer;다가감;먼;접근,3,-0.1523902714252472,-0.13705271668732166,-0.15616855759539666,-0.14579891320317984,-0.14468346625238085
43,Mon_May_15_22_22_44_2023,20103212,43,340,approach,far,,M,0,로봇이 대상에 접근하고 있습니다.,먼 거리에서 접근 중.,,"[44/250] 로봇이 대상에 접근하고 있습니다. 먼 거리에서 접근 중. (session=Mon_May_15_22_22_44_2023, cam=20103212)",approach;distant;far;move closer;다가감;먼;접근,3,-0.15226632356643677,-0.1403333069756627,-0.15945603281605686,-0.1434479095041752,-0.14631517913322317
44,Mon_May_15_22_22_44_2023,20103212,44,326,approach,far,,M,0,로봇이 대상에 접근하고 있습니다.,먼 거리에서 접근 중.,,"[45/250] 로봇이 대상에 접근하고 있습니다. 먼 거리에서 접근 중. (session=Mon_May_15_22_22_44_2023, cam=20103212)",approach;distant;far;move closer;다가감;먼;접근,3,-0.15224990248680115,-0.14417626336216927,-0.16182190579287126,-0.1398809803649783,-0.14788573012542694
45,Mon_May_15_22_22_44_2023,20103212,45,310,approach,far,,M,0,로봇이 대상에 접근하고 있습니다.,먼 거리에서 접근 중.,,"[46/250] 로봇이 대상에 접근하고 있습니다. 먼 거리에서 접근 중. (session=Mon_May_15_22_22_44_2023, cam=20103212)",approach;distant;far;move closer;다가감;먼;접근,3,-0.15220262110233307,-0.14677751809358597,-0.16273482682234996,-0.13663702737540007,-0.1490376146209499
46,Mon_May_15_22_22_44_2023,20103212,46,344,approach,far,,M,0,로봇이 대상에 접근하고 있습니다.,먼 거리에서 접근 중.,,"[47/250] 로봇이 대상에 접근하고 있습니다. 먼 거리에서 접근 중. (session=Mon_May_15_22_22_44_2023, cam=20103212)",approach;distant;far;move closer;다가감;먼;접근,3,-0.15155275166034698,-0.15264065377414227,-0.1659210693867763,-0.13050289079546928,-0.15127495944618286
47,Mon_May_15_22_22_44_2023,20103212,47,308,approach,far,,M,0,로봇이 대상에 접근하고 있습니다.,먼 거리에서 접근 중.,,"[48/250] 로봇이 대상에 접근하고 있습니다. 먼 거리에서 접근 중. (session=Mon_May_15_22_22_44_2023, cam=20103212)",approach;distant;far;move closer;다가감;먼;접근,3,-0.15028859674930573,-0.15908625721931458,-0.16807950137814176,-0.1221521869301796,-0.15327289737299193
48,Mon_May_15_22_22_44_2023,20103212,48,312,approach,far,,M,0,로봇이 대상에 접근하고 있습니다.,먼 거리에서 접근 중.,,"[49/250] 로봇이 대상에 접근하고 있습니다. 먼 거리에서 접근 중. (session=Mon_May_15_22_22_44_2023, cam=20103212)",approach;distant;far;move closer;다가감;먼;접근,3,-0.1479339599609375,-0.16635425202548504,-0.170724352163097,-0.11211002618074417,-0.15540428644493995
49,Mon_May_15_22_22_44_2023,20103212,49,287,approach,far,,M,0,로봇이 대상에 접근하고 있습니다.,먼 거리에서 접근 중.,,"[50/250] 로봇이 대상에 접근하고 있습니다. 먼 거리에서 접근 중. (session=Mon_May_15_22_22_44_2023, cam=20103212)",approach;distant;far;move closer;다가감;먼;접근,3,-0.14310581982135773,-0.17232494801282883,-0.17461944580168065,-0.10321435332298279,-0.15786840751800885
50,Mon_May_15_22_22_44_2023,20103212,50,278,approach,far,,M,0,로봇이 대상에 접근하고 있습니다.,먼 거리에서 접근 중.,,"[51/250] 로봇이 대상에 접근하고 있습니다. 먼 거리에서 접근 중. (session=Mon_May_15_22_22_44_2023, cam=20103212)",approach;distant;far;move closer;다가감;먼;접근,3,-0.1357448697090149,-0.1755993887782097,-0.17908244758968228,-0.09804130345582962,-0.16083303254144143
51,Mon_May_15_22_22_44_2023,20103212,51,343,approach,far,,M,0,로봇이 대상에 접근하고 있습니다.,먼 거리에서 접근 중.,,"[52/250] 로봇이 대상에 접근하고 있습니다. 먼 거리에서 접근 중. (session=Mon_May_15_22_22_44_2023, cam=20103212)",approach;distant;far;move closer;다가감;먼;접근,3,-0.12689729034900665,-0.1828981675207615,-0.18650896851451348,-0.09153873473405838,-0.16542586499538703
52,Mon_May_15_22_22_44_2023,20103212,52,390,approach,far,,M,0,로봇이 대상에 접근하고 있습니다.,먼 거리에서 접근 중.,,"[53/250] 로봇이 대상에 접근하고 있습니다. 먼 거리에서 접근 중. (session=Mon_May_15_22_22_44_2023, cam=20103212)",approach;distant;far;move closer;다가감;먼;접근,3,-0.11942688375711441,-0.18661504797637463,-0.1904946656108376,-0.0881347507238388,-0.16897178966851817
53,Mon_May_15_22_22_44_2023,20103212,53,366,approach,far,,M,0,로봇이 대상에 접근하고 있습니다.,먼 거리에서 접근 중.,,"[54/250] 로봇이 대상에 접근하고 있습니다. 먼 거리에서 접근 중. (session=Mon_May_15_22_22_44_2023, cam=20103212)",approach;distant;far;move closer;다가감;먼;접근,3,-0.11271402984857559,-0.18838392570614815,-0.19496786004580996,-0.08856372907757759,-0.1729081660742981
54,Mon_May_15_22_22_44_2023,20103212,54,375,approach,far,,M,0,로봇이 대상에 접근하고 있습니다.,먼 거리에서 접근 중.,,"[55/250] 로봇이 대상에 접근하고 있습니다. 먼 거리에서 접근 중. (session=Mon_May_15_22_22_44_2023, cam=20103212)",approach;distant;far;move closer;다가감;먼;접근,3,-0.10699103772640228,-0.18926135450601578,-0.19933392478402623,-0.09100363589823246,-0.17679349285876814
55,Mon_May_15_22_22_44_2023,20103212,55,380,approach,far,,M,0,로봇이 대상에 접근하고 있습니다.,먼 거리에서 접근 중.,,"[56/250] 로봇이 대상에 접근하고 있습니다. 먼 거리에서 접근 중. (session=Mon_May_15_22_22_44_2023, cam=20103212)",approach;distant;far;move closer;다가감;먼;접근,3,-0.10321488976478577,-0.18530654907226562,-0.2016419484136217,-0.09661195892840624,-0.18005103110960546
56,Mon_May_15_22_22_44_2023,20103212,56,382,approach,far,,M,0,로봇이 대상에 접근하고 있습니다.,먼 거리에서 접근 중.,,"[57/250] 로봇이 대상에 접근하고 있습니다. 먼 거리에서 접근 중. (session=Mon_May_15_22_22_44_2023, cam=20103212)",approach;distant;far;move closer;다가감;먼;접근,3,-0.10169999301433563,-0.1840681955218315,-0.20306196219996198,-0.09872799040749669,-0.1827440761300757
57,Mon_May_15_22_22_44_2023,20103212,57,419,approach,far,,M,0,로봇이 대상에 접근하고 있습니다.,먼 거리에서 접근 중.,,"[58/250] 로봇이 대상에 접근하고 있습니다. 먼 거리에서 접근 중. (session=Mon_May_15_22_22_44_2023, cam=20103212)",approach;distant;far;move closer;다가감;먼;접근,3,-0.10165371000766754,-0.18388250516727567,-0.2004793034569302,-0.09702860144898295,-0.18340934427737737
58,Mon_May_15_22_22_44_2023,20103212,58,389,approach,far,,M,0,로봇이 대상에 접근하고 있습니다.,먼 거리에서 접근 중.,,"[59/250] 로봇이 대상에 접근하고 있습니다. 먼 거리에서 접근 중. (session=Mon_May_15_22_22_44_2023, cam=20103212)",approach;distant;far;move closer;다가감;먼;접근,3,-0.10168727487325668,-0.18571722321212292,-0.1970324169143569,-0.09357590228319168,-0.18330780791284634
59,Mon_May_15_22_22_44_2023,20103212,59,342,approach,far,,M,0,로봇이 대상에 접근하고 있습니다.,먼 거리에서 접근 중.,,"[60/250] 로봇이 대상에 접근하고 있습니다. 먼 거리에서 접근 중. (session=Mon_May_15_22_22_44_2023, cam=20103212)",approach;distant;far;move closer;다가감;먼;접근,3,-0.10163852572441101,-0.17389131942763925,-0.18757389622131432,-0.10093415796291083,-0.18028426966517958
60,Mon_May_15_22_22_44_2023,20103212,60,348,approach,far,,M,0,로봇이 대상에 접근하고 있습니다.,먼 거리에서 접근 중.,,"[61/250] 로봇이 대상에 접근하고 있습니다. 먼 거리에서 접근 중. (session=Mon_May_15_22_22_44_2023, cam=20103212)",approach;distant;far;move closer;다가감;먼;접근,3,-0.10113491117954254,-0.16351598780602217,-0.1737417514786218,-0.10594411147758365,-0.17515927499775197
61,Mon_May_15_22_22_44_2023,20103212,61,322,approach,far,,M,0,로봇이 대상에 접근하고 있습니다.,먼 거리에서 접근 중.,,"[62/250] 로봇이 대상에 접근하고 있습니다. 먼 거리에서 접근 중. (session=Mon_May_15_22_22_44_2023, cam=20103212)",approach;distant;far;move closer;다가감;먼;접근,3,-0.10076545178890228,-0.15315320156514645,-0.16288664936429725,-0.11156473215669394,-0.1701292283810916
62,Mon_May_15_22_22_44_2023,20103212,62,343,approach,far,,M,0,로봇이 대상에 접근하고 있습니다.,먼 거리에서 접근 중.,,"[63/250] 로봇이 대상에 접근하고 있습니다. 먼 거리에서 접근 중. (session=Mon_May_15_22_22_44_2023, cam=20103212)",approach;distant;far;move closer;다가감;먼;접근,3,-0.10078947246074677,-0.1459764465689659,-0.14908979254422455,-0.11118379328399897,-0.16310473873264295
63,Mon_May_15_22_22_44_2023,20103212,63,349,approach,far,,M,0,로봇이 대상에 접근하고 있습니다.,먼 거리에서 접근 중.,,"[64/250] 로봇이 대상에 접근하고 있습니다. 먼 거리에서 접근 중. (session=Mon_May_15_22_22_44_2023, cam=20103212)",approach;distant;far;move closer;다가감;먼;접근,3,-0.10097483545541763,-0.14116007648408413,-0.1442865569242252,-0.110465700738132,-0.15841250825108638
64,Mon_May_15_22_22_44_2023,20103212,64,328,approach,far,,M,0,로봇이 대상에 접근하고 있습니다.,먼 거리에서 접근 중.,,"[65/250] 로봇이 대상에 접근하고 있습니다. 먼 거리에서 접근 중. (session=Mon_May_15_22_22_44_2023, cam=20103212)",approach;distant;far;move closer;다가감;먼;접근,3,-0.10098545998334885,-0.1389522012323141,-0.14006926462888103,-0.10709137422963977,-0.15356538014799126
65,Mon_May_15_22_22_44_2023,20103212,65,360,approach,far,,M,0,로봇이 대상에 접근하고 있습니다.,먼 거리에서 접근 중.,,"[66/250] 로봇이 대상에 접근하고 있습니다. 먼 거리에서 접근 중. (session=Mon_May_15_22_22_44_2023, cam=20103212)",approach;distant;far;move closer;다가감;먼;접근,3,-0.10093050450086594,-0.13295317441225052,-0.13903639899857534,-0.10882009007036686,-0.15004649828064326
